name,rating,review_count,address,cuisine,price,yelp_url
Uniboil,3.7,203,"132 E St, Davis, CA 95616","['Noodles', 'Hot Pot', 'Chinese']",$$,https://www.yelp.com/biz/_nlwVAdUxqTu3kVu6i-zpA
Tommy J's Grill & Catering,4.3,456,"726 2nd St, Davis, CA 95616","['Burgers', 'American', 'Bars']",$$,https://www.yelp.com/biz/dqyX4WCSGsRRgs2miFzA7w
Open Rice Kitchen,3.2,648,"204 G St, Davis, CA 95616","['Chinese', 'Asian Fusion', 'Soup']",$,https://www.yelp.com/biz/ywcWDBIgQFql2L08iawVZg
Wayback Burgers,3.8,37,"1351 W Covell Blvd, Davis, CA 95616",['Burgers'],Unknown,https://www.yelp.com/biz/GClFp2nvFuNzz4NChJCdaw
Zen Toro Japanese Bistro & Sushi Bar,3.8,579,"132 E St, Ste 100, Davis, CA 95616","['Sushi Bars', 'Japanese']",$$,https://www.yelp.com/biz/u7sG4XfiiM58y5VHulhwRw
Stand Up Kabob,4.5,72,"5100 Chiles Rd, Ste 105, Davis, CA 95618","['Middle Eastern', 'Persian/Iranian']",Unknown,https://www.yelp.com/biz/_4QsLVwCTT0-ROI-D2uYgA
Red 88 - Davis,3.3,528,"223 G St, Davis, CA 95616","['Bars', 'Noodles']",$$,https://www.yelp.com/biz/IYvbxcGXJAA6pZ9YMUiPeQ
Honey D Cafe,3.7,96,"213 E St, Ste C, Davis, CA 95616","['Taiwanese', 'Desserts', 'Cafes']",$$,https://www.yelp.com/biz/bBqM3gtToeAd06vr9Tmmmw
Nami Sushi,3.7,337,"2880 5th St, Ste 105, Davis, CA 95618","['Sushi Bars', 'Japanese']",$$,https://www.yelp.com/biz/spTUBHLbhBZlv6huHLdeQw
Tasty Kitchen,3.3,312,"335 F St, Davis, CA 95616",['Cantonese'],$$,https://www.yelp.com/biz/BMAf1Mi65tGzlzeWfnot4w
Paste Thai,4.0,103,"417 Mace Blvd, Ste I, Davis, CA 95618",['Thai'],$$,https://www.yelp.com/biz/8SGRm47hNTJyhfL9MB_TpQ
Three Ladies Cafe,3.3,235,"130 G St, Ste A, Davis, CA 95616","['Juice Bars & Smoothies', 'Sandwiches', 'Breakfast & Brunch']",$$,https://www.yelp.com/biz/DnkCSzuaGu6ZbPR3NgwQjg
Smokin'Ewe BBQ,3.5,53,"228 G St, Davis, CA 95616",['Barbeque'],$$,https://www.yelp.com/biz/9GXsHR6vXWpl3m-axQrR1A
Jusco Japanese Restaurant,3.5,389,"228 G St, Davis, CA 95616","['Japanese', 'Sushi Bars', 'Buffets']",$$,https://www.yelp.com/biz/6xezYgIqkO2MSAWslm4Hhw
The Gunrock,3.9,58,"482 Hutchison Dr, Davis, CA 95616",['New American'],$$,https://www.yelp.com/biz/Qf7OWGs7gnnB3QkyEohUyA
Fire Wings - Davis,3.4,256,"640 W Covell Blvd, Davis, CA 95616",['Chicken Wings'],$$,https://www.yelp.com/biz/0p189eA6Xb6TkernyFu9Dw
Round Table Pizza,3.8,10,"4551 2nd St, Ste 110, Davis, CA 95618",['Pizza'],Unknown,https://www.yelp.com/biz/VZchS6dKFO7mJ10iVBgSIA
Froggy's,3.9,327,"726 2nd St, Davis, CA 95616","['Bars', 'Burgers', 'American']",$$,https://www.yelp.com/biz/QGv6PEVmu8ka_LiV725TzQ
Tres Hermanas,3.5,440,"805 2nd St, Davis, CA 95616","['Mexican', 'Bars']",$$,https://www.yelp.com/biz/4CKToYqUmlJYqkUPdeDiIg
Nash & Proper,3.6,47,"500 1st St, Ste 13a, Davis, CA 95616","['Chicken Shop', 'Sandwiches', 'American']",Unknown,https://www.yelp.com/biz/lghRlDcXdFGWBq7GWcCKew
Delta of Venus,3.9,434,"122 B St, Davis, CA 95616","['Pubs', 'Cafes', 'Breakfast & Brunch']",$$,https://www.yelp.com/biz/Nsd4yFS62WfHzoj9-fowYA
Manna Korean Restaurant,3.1,320,"622 3rd St, Davis, CA 95616",['Korean'],$$,https://www.yelp.com/biz/ITBLNZMjJnP3R3UJVTBS8Q
Village Bakery,4.2,350,"814 2nd St, Davis, CA 95616","['Bakeries', 'Pizza', 'Salad']",$,https://www.yelp.com/biz/BXGz-aDjgXENw1mfdy2hFA
Davis Noodle City,3.3,541,"129 E St D1, Davis, CA 95616","['Taiwanese', 'Chinese', 'Noodles']",$,https://www.yelp.com/biz/gHlJcEZPBuEBHN88eDMd9g
Cloud Forest Cafe,3.9,347,"222 D St, Ste 10, Davis, CA 95616","['Coffee & Tea', 'Breakfast & Brunch', 'Salad']",$,https://www.yelp.com/biz/jKGa-Jy_CGokiD3GMJdr0A
I Love Sushi,3.6,316,"620 W Covell Blvd, Ste B, Davis, CA 95616","['Sushi Bars', 'Japanese', 'Buffets']",$$,https://www.yelp.com/biz/T5YmGhV_RjmJeJEJx6bVXA
Raising Cane's Chicken Fingers,3.2,215,"207 E St, Davis, CA 95616","['Chicken Shop', 'Fast Food']",$$,https://www.yelp.com/biz/wMAmDbf_HGYceVMOAFKcPA
Pupusas Y Mas,4.7,18,"2002 Lyndell Ter, Davis, CA 95616","['Food Trucks', 'Mexican', 'Salvadoran']",Unknown,https://www.yelp.com/biz/iBy-qzjmnZwkif0__lKRZQ
Ali Baba,3.7,459,"220 3rd St, Davis, CA 95616",['Middle Eastern'],$,https://www.yelp.com/biz/BnV6-tk01SiufBbJ7pB-9A
Jack's Urban Eats,3.0,353,"1321 W Covell Blvd, Davis, CA 95616","['American', 'Salad', 'Sandwiches']",$$,https://www.yelp.com/biz/2fY_SsF7OAL6blGYGpIFYQ
Tea List,4.2,563,"222 D St, Ste 3, Davis, CA 95616","['Coffee & Tea', 'Tea Rooms', 'Sandwiches']",$$,https://www.yelp.com/biz/Qdzx7tsNBxGPo-Sa2K9v5g
Ike's Love & Sandwiches,3.9,456,"212 F Street St B, Davis, CA 95616",['Sandwiches'],$$,https://www.yelp.com/biz/BReP9GHrSDZA082TMbmaxw
Lazi Cow - Davis,3.5,529,"407 G St, Ste 4, Davis, CA 95616","['Desserts', 'Bubble Tea', 'Ramen']",$,https://www.yelp.com/biz/U0_DUIITYCDr_1ZDEx00vA
El Patio Fresh Mexican Grill,3.7,235,"200 E St, Davis, CA 95616","['Breakfast & Brunch', 'Tacos']",$,https://www.yelp.com/biz/nuCXrzhmG84SQpZbAGApzw
Kathmandu Kitchen,3.6,579,"234 G St, Davis, CA 95616","['Indian', 'Himalayan/Nepalese']",$$,https://www.yelp.com/biz/1LYPBxME9ze2aFY5Kl9kWA
Mumpys street eats,3.8,23,"1221 3rd St, Davis, CA 95616","['Food Trucks', 'Tacos', 'Caterers']",Unknown,https://www.yelp.com/biz/GHcx68VeyfUduI61xKht7g
Davis Food Co-op,4.2,280,"620 G St, Davis, CA 95616","['Grocery', 'Delis', 'Fruits & Veggies']",$$,https://www.yelp.com/biz/URI4y1OkYu0x1o9RT4XvTQ
Taqueria Guadalajara Grill - South Davis,3.9,432,"417 Mace Blvd, Davis, CA 95618",['Mexican'],$$,https://www.yelp.com/biz/OW4OgFFKD-2Vf8UdNCO5EA
Ding How Restaurant,3.3,323,"640 W Covell Blvd, Davis, CA 95616","['Chinese', 'Vegetarian', 'Vegan']",$,https://www.yelp.com/biz/zaRXb20vdcnY4hMyi1ED2w
i-Tea,3.5,167,"236 A St, Davis, CA 95616","['Bubble Tea', 'Juice Bars & Smoothies', 'Ramen']",$,https://www.yelp.com/biz/W737Oh1NERPNG7dV34_UzA
Nopalito Taqueria,4.0,5,"500 1st St, Ste 13 A, Davis, CA 95616",['Mexican'],Unknown,https://www.yelp.com/biz/UCSRySt8Kn-H7zTWuCEyXQ
Pachamama Coffee,4.3,130,"130 G St, Davis, CA 95616","['Coffee & Tea', 'Cafes']",$,https://www.yelp.com/biz/5MHx6xwZcFVvbFgYvIxkdg
Teabo Café,3.5,654,"2191 Cowell Blvd, Ste E, Davis, CA 95618","['Cafes', 'Bubble Tea']",$,https://www.yelp.com/biz/lFxN0ZJLsE3Fe5-AIkh77w
Hunan Bar & Restaurant,3.5,351,"207 D St, Davis, CA 95616","['Chinese', 'Seafood', 'Bars']",$$,https://www.yelp.com/biz/CcxNJEGntphv0wH9qm99tw
Blaze Pizza,4.0,584,"212 F St, Davis, CA 95616","['Pizza', 'Salad', 'Fast Food']",$,https://www.yelp.com/biz/N_BDcYgSezhveRy5Yq22Rw
Black Bear Diner - Davis,3.5,647,"255 2nd St, Davis, CA 95616","['American', 'Breakfast & Brunch', 'Diners']",$$,https://www.yelp.com/biz/PXz1zMm-RjTY_aYGF-14Dw
Sophia's Thai Bar & Kitchen,3.4,860,"129 E St, Ste E, Davis, CA 95616","['Thai', 'Seafood', 'Cocktail Bars']",$$,https://www.yelp.com/biz/XXLy6_O6duFFZPBlgE-i0A
Latitude,4.0,12,"175 Bioletti Way, Davis, CA 95616","['Middle Eastern', 'Latin American', 'Indian']",Unknown,https://www.yelp.com/biz/MzFHAVYQbzFrT5C4Tj5PvA
The Posh Bagel,4.0,363,"206 F St, Davis, CA 95616","['Bagels', 'Coffee & Tea', 'Sandwiches']",$,https://www.yelp.com/biz/TVPBL8IpbTG85liZKkzHYA
The Hotdogger,4.0,334,"129 E St, Ste A1, Space A-1, Davis, CA 95616",['Hot Dogs'],$,https://www.yelp.com/biz/c0yIPL1duxmhNRHEBPFDHw
Sutter Davis Hospital Cafeteria,4.0,1,"2000 Sutter Pl, Davis, CA 95616",['Cafeteria'],Unknown,https://www.yelp.com/biz/m2vm1_x1yWnE8WzUiZIJnA
Taquitos La Bombonera 1,0.0,0,"1935 Anderson Rd, Davis, CA 95616","['Food Trucks', 'Mexican']",Unknown,https://www.yelp.com/biz/K7j2AiQkXeeoe6xEznWG5g
Zia's Delicatessen,4.1,432,"616 3rd St, Davis, CA 95616","['Delis', 'Sandwiches']",$,https://www.yelp.com/biz/BdAdm9IltdNb_FG7fADPQg
Pho King 4,2.8,804,"226 3rd St, Davis, CA 95616","['Vietnamese', 'Chinese']",$$,https://www.yelp.com/biz/UQi46vvRtAtQ20JvFnsptg
Preethi Indian Cuisine,3.7,400,"715 2nd St, Davis, CA 95616","['Indian', 'Vegan', 'Soup']",$$,https://www.yelp.com/biz/ENmi2GlUjrm8A5nKTv-czA
Symposium Restaurant & Pizza House,3.6,219,"1620 E 8th St, Davis, CA 95616","['Pizza', 'Greek']",$$,https://www.yelp.com/biz/Nyb7QDI8ZE813ekNChihxQ
Street Cravings,4.3,14,"Davis, CA 95618","['Food Trucks', 'Tacos', 'Sandwiches']",Unknown,https://www.yelp.com/biz/6ehq00Wiaa0N_oUN_4EaFw
Wingstop,2.6,210,"408 G St, Davis, CA 95616",['Chicken Wings'],$$,https://www.yelp.com/biz/lhfzFOJooW4z0xZvsZjyDw
Orangecourt,4.0,2,"129 E St, Davis, CA 95616","['Massage', 'Hot Dogs', 'Thai']",Unknown,https://www.yelp.com/biz/iqKUZFQIf5OsCqURoeagKA
Shah's Halal Food - University Mall,4.3,377,"825 Russell Blvd, Davis, CA 95616","['Food Trucks', 'Halal', 'Mediterranean']",$$,https://www.yelp.com/biz/pHPnraHHsM3TchlbUP3eKA
Taqueria El Burrito,3.5,573,"223 F St, Davis, CA 95616",['Mexican'],$$,https://www.yelp.com/biz/olL-qRb3UuZgqVFT1A5zlA
Shah's Halal Food,0.0,0,"705 Russell Blvd, Davis, CA 95616","['Halal', 'Middle Eastern', 'Food Trucks']",Unknown,https://www.yelp.com/biz/3_aDmDhG3SU0VlPJxFo0GQ
Kiki's Chicken Place,0.0,0,"4100 Chiles Rd, Davis, CA 95618","['Waffles', 'Chicken Wings', 'Sandwiches']",Unknown,https://www.yelp.com/biz/lGKCz9Wzs0Q3IUvIMNDuDA
Dos Coyotes Border Cafe,3.6,486,"2191 Cowell Blvd, Davis, CA 95618","['Tex-Mex', 'Tacos']",$$,https://www.yelp.com/biz/4HJTj1xezvDMe1foiXgxYQ
Dos Coyotes Border Cafe,3.6,571,"1411 W Covell Blvd, Davis, CA 95616","['Tex-Mex', 'Tacos']",$,https://www.yelp.com/biz/NNzBiVCtdnNOAkOysGVp5g
La crêpe,4.2,58,"The Silo, University of California Davis, Davis, CA 95616","['Creperies', 'French']",$,https://www.yelp.com/biz/hvQpyVSUbbyDYQCyNVjhEg
3rd & U Cafe,0.0,0,"223 3rd St, Davis, CA 95616","['New American', 'Hot Dogs', 'Delis']",Unknown,https://www.yelp.com/biz/Tl5aCKfkLTzBbQcvDTLrLg
Steve's Pizza,3.6,256,"314 F St, Davis, CA 95616","['Pizza', 'Italian']",$$,https://www.yelp.com/biz/V9gB76Sc2wexbCrG_NGo5w
Icekrimski Cafe,4.2,180,"618 2nd St, Davis, CA 95616","['Ice Cream & Frozen Yogurt', 'Cafes']",$,https://www.yelp.com/biz/st4UdixGjFl4NYq9CIq5TQ
IHOP,2.6,190,"1745 Cowell Blvd, Davis, CA 95618","['Breakfast & Brunch', 'American', 'Burgers']",$$,https://www.yelp.com/biz/wN8zoRcvRwFG346GKjN2gQ
Nugget Markets,4.4,473,"1414 E Covell Blvd, Davis, CA 95616","['Grocery', 'Fruits & Veggies', 'Sandwiches']",$$,https://www.yelp.com/biz/K1SFIxSL8GWDl8veC82V9A
Philz Coffee,4.0,273,"521 2nd St, Davis, CA 95616","['Coffee & Tea', 'Breakfast & Brunch']",$,https://www.yelp.com/biz/_KLoq3eMDVxsS9o1PrP32w
In-N-Out Burger,4.1,468,"1020 Olive Dr, Davis, CA 95616","['Fast Food', 'Burgers']",$,https://www.yelp.com/biz/bi9ZUN54a6TBS0c91fYs_g
